l;t;C;tau;delta
1;0.10426;4;0.10426;1.0
2;0.2008;1;0.09655;0.5
3;1.23922;3;1.03842;0.33333
4;1.57812;2;0.33891;0.25
5;1.76707;5;0.18895;0.2
6;2.6551;2;0.88803;0.13333
7;2.67188;1;0.01677;0.11905
8;2.68582;5;0.01394;0.10714
9;3.11975;4;0.43393;0.09722
10;4.27323;2;1.15348;0.07778
11;5.22844;1;0.95522;0.07273
12;5.40541;3;0.17697;0.07576
13;5.79365;1;0.38824;0.05769
14;6.28093;4;0.48727;0.06044
15;7.36766;1;1.08673;0.04762
16;7.44824;4;0.08058;0.05
17;7.49037;1;0.04213;0.04044
18;7.98521;3;0.49484;0.04902
19;8.29031;2;0.3051;0.04386
20;8.29682;1;0.00651;0.03421
21;8.45618;4;0.15937;0.0381
22;8.55346;1;0.09728;0.0303
23;8.75084;3;0.19738;0.03755
24;9.13865;5;0.38781;0.03804
25;9.16094;3;0.02229;0.03333
26;9.23959;1;0.07864;0.02615
27;9.25729;3;0.0177;0.02991
28;9.61411;1;0.35682;0.02381
29;9.99357;4;0.37946;0.02833
30;10.26583;2;0.27226;0.02874
31;10.58967;1;0.32384;0.02151
32;10.96439;3;0.37472;0.0252
33;11.10245;5;0.13806;0.02746
34;11.33324;4;0.23078;0.02406
35;11.86942;1;0.53619;0.01933
36;12.03478;3;0.16536;0.02222
37;12.23818;2;0.20339;0.02327
38;13.05795;1;0.81978;0.01778
39;13.4287;3;0.37075;0.02024
40;13.46175;5;0.03305;0.02244
41;14.56527;4;1.10352;0.02012
42;14.90506;1;0.33979;0.01626
43;14.9943;3;0.08924;0.01827
44;15.06153;5;0.06723;0.02008
45;15.29744;2;0.23591;0.01919
46;15.57072;1;0.27328;0.01498
47;15.75318;5;0.18246;0.0185
48;15.83652;4;0.08334;0.01729
49;15.95432;3;0.1178;0.01616
50;16.07373;5;0.11941;0.01714
51;16.11317;3;0.03944;0.01529
52;16.26931;2;0.15614;0.01659
53;16.7008;1;0.43149;0.01343
54;16.73736;5;0.03656;0.01572
55;16.79465;4;0.05728;0.01515
56;17.44621;2;0.65156;0.01526
57;18.36836;1;0.92216;0.01253
58;18.52733;5;0.15897;0.01452
59;18.66129;3;0.13396;0.01344
60;18.71636;2;0.05507;0.01412
61;19.15755;5;0.44119;0.01366
62;19.26242;3;0.10487;0.01269
63;19.46152;5;0.1991;0.01306
64;19.92669;3;0.46517;0.01215
65;20.34197;1;0.41528;0.0113
66;20.45863;5;0.11666;0.01235
67;20.67491;2;0.21628;0.01266
68;21.55426;5;0.87935;0.01185
69;22.09469;3;0.54043;0.0113
70;22.33453;1;0.23984;0.01056
71;22.72426;4;0.38972;0.01207
72;22.75547;1;0.03121;0.01017
73;22.79879;4;0.04332;0.01161
74;23.68042;1;0.88163;0.00981
75;23.70738;4;0.02696;0.01117
76;23.80737;1;0.09999;0.00947
77;24.47661;4;0.66924;0.01077
78;24.77537;1;0.29876;0.00916
79;24.8052;4;0.02984;0.01039
80;25.04211;2;0.2369;0.01076
81;25.50438;5;0.46227;0.01019
82;25.67298;4;0.1686;0.00994
83;25.67748;1;0.0045;0.00867
84;26.23584;4;0.55836;0.00961
85;26.37587;3;0.14003;0.00952
86;26.61812;1;0.24224;0.00834
87;28.63848;4;2.02037;0.00922
88;29.19838;1;0.55989;0.0081
89;29.24356;4;0.04518;0.00894
90;29.25479;2;0.01123;0.00961
91;30.65169;5;1.3969;0.00916
92;31.06137;4;0.40968;0.0086
93;32.03611;2;0.97473;0.00923
94;32.03685;5;0.00074;0.00881
95;32.64346;4;0.60661;0.00829
96;32.88051;3;0.23705;0.00855
97;33.06953;2;0.18902;0.00881
98;33.10747;1;0.03794;0.00747
99;33.21964;5;0.11218;0.00835
100;33.33982;2;0.12017;0.00848
7531;2732.24217;2;0.10237;0.00011
7532;2734.54975;5;2.30758;0.0001
7533;2735.02643;2;0.47668;0.00011
7534;2735.12814;1;0.10171;0.0001
7535;2735.50864;3;0.3805;0.00011
7536;2736.49479;5;0.98615;0.0001
