i;R;v;T;delta
1;27;0.27;417.81534;0.25003
2;16;0.16;280.44736;0.16783
3;18;0.18;264.49004;0.15828
4;21;0.21;385.94054;0.23096
5;18;0.18;322.35339;0.19291
